"pre" "post" "clos" "Vpn" "Age" "G" "R" "P" "Cluster" "Place" "vint" "offset" "W"
"363" 60.1360544217687 28.4126984126983 105.238095238095 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 193.786848072562 15.8616780045352 "destiempo"
"364" 45.7142857142858 17.4829931972788 105.238095238095 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 168.43537414966 14.1156462585036 "pasta"
"366" 15.0340136054422 8.73015873015879 95.2154195011339 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 118.979591836735 3.15192743764169 "pasta"
"367" 25.0566893424036 18.8208616780043 85.1927437641724 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 129.07029478458 3.11791383219952 "pistolin"
"368" 55.124716553288 18.5487528344672 85.1927437641723 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 158.866213151927 18.2879818594106 "pistolin"
"369" 45.1020408163265 18.8208616780043 70.1587301587302 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 134.081632653061 13.1405895691612 "pistolin"
"370" -25.0566893424036 18.5034013605443 95.2154195011337 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 88.6621315192745 -21.7800453514742 "resto"
"371" 15.0340136054424 28.6167800453513 85.1927437641725 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 128.843537414966 -6.79138321995447 "resto"
"372" 35.0793650793651 8.39002267573687 105.238095238095 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 148.707482993197 13.344671201814 "resto"
"373" 45.1020408163265 13.5827664399094 110.249433106576 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 168.934240362812 15.7596371882084 "estuela"
"374" 5.01133786848072 13.8321995464851 115.260770975057 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 134.104308390023 -4.41043083900217 "estuela"
"375" 15.0340136054422 9.09297052154204 110.249433106576 "ALR0012" "alt" "m" "Sevilla" "st" "cluster" "alv" 134.37641723356 2.97052154195001 "estuela"
"376" 15.0113378684807 33.2653061224489 85.1927437641725 "AMU0049" "alt" "f" "Granada" "sk" "cluster" "vel" 133.469387755102 -9.1269841269841 "cosquillas"
"377" -5.01133786848072 34.2857142857142 125.283446712018 "AMU0049" "alt" "f" "Granada" "sk" "cluster" "vel" 154.557823129252 -19.6485260770974 "cosquillas"
"378" 55.124716553288 39.0929705215419 50.1133786848072 "AMU0049" "alt" "f" "Granada" "sk" "cluster" "vel" 144.331065759637 8.01587301587301 "cosquillas"
"379" 10.0226757369614 54.4897959183673 110.249433106576 "AMU0049" "alt" "f" "Granada" "sk" "cluster" "vel" 174.761904761905 -22.233560090703 "esquia"
"380" 10.0226757369614 59.092970521542 125.283446712018 "AMU0049" "alt" "f" "Granada" "sk" "cluster" "vel" 194.399092970522 -24.5351473922904 "esquia"
"381" 5.01133786848084 44.2857142857143 110.249433106576 "AMU0049" "alt" "f" "Granada" "sk" "cluster" "vel" 159.546485260771 -19.6371882086167 "esquia"
"383" 0 24.3537414965987 130.294784580499 "AMU0049" "alt" "f" "Granada" "sk" "cluster" "vel" 154.648526077097 -12.1768707482993 "esquife"
