labels,dur_v,dur_c,dur_utterance,dur_v_norm,dur_c_norm,dur_v_norm_word,dur_c_norm_word,dur_following_sound,dur_word,vc_ratio,variety,speaker,target_word,rate,target_sound,preceding_vowel,following_sound,second_next_sound,bundle_name,target_sound_start,target_sound_end,manner_of_articulation,place_of_articulation,vowel_quality,word_group,vowel_height,dur_aspiration,dur_c_aspiration,category,non_word,age,F1,F2,release_type,legal,speaker_group,standard_dialect_continuum,consonant_strength,vowel_length
Tigger,47.75510204081638,7.02947845804988,1034.8979591836737,0.046144744626306494,0.0067924362935208845,0.1619750807568068,0.023842485771419755,61.678004535147466,294.82993197278915,0.8716887417218545,SD,SD_0004,Tigger,normal,g,I,_h,6,SD_0004_Tigger_normal_01,1228.1519274376417,1235.1814058956916,stop,velar,i-like,tIGer,high,61.678004535147466,68.70748299319735,VC,FALSE,Y,373,2339,oral,legal,Y_SD,3,Lenis,Short
Tigger,33.42403628117927,72.65306122448987,1379.2743764172337,0.024233058231677335,0.05267484299477202,0.10207756232687017,0.22188365650969544,21.49659863945567,327.43764172335614,0.3150919196237715,SD,SD_0004,Tigger,normal,g,I,_h,6,SD_0004_Tigger_normal_02,1138.265306122449,1210.9183673469388,stop,velar,i-like,tIGer,high,21.49659863945567,94.14965986394554,VC,FALSE,Y,345,2257,oral,legal,Y_SD,3,Lenis,Short
Tigger,40.88435374149651,58.84353741496591,1165.8503401360545,0.035068269342980435,0.05047263391294193,0.12765505522514844,0.18372982158028867,25.283446712018304,320.27210884353735,0.40995907230559325,SD,SD_0004,Tigger,normal,g,I,_h,6,SD_0004_Tigger_normal_03,968.6507936507936,1027.4943310657595,stop,velar,i-like,tIGer,high,25.283446712018304,84.12698412698421,VC,FALSE,Y,343,2340,oral,legal,Y_SD,3,Lenis,Short
Tigger,45.374149659863974,48.50340136054422,1081.6780045351475,0.0419479267116683,0.044840887174541946,0.14518937744884636,0.1552024379625598,44.17233560090699,312.5170068027212,0.4833333333333335,SD,SD_0004,Tigger,normal,g,I,_h,6,SD_0004_Tigger_normal_04,863.6848072562359,912.1882086167801,stop,velar,i-like,tIGer,high,44.17233560090699,92.67573696145121,VC,FALSE,Y,377,2130,oral,legal,Y_SD,3,Lenis,Short
Tigger,35.94104308390024,20,1236.9160997732424,0.029056977341057433,0.016169245435213028,0.10616920088418522,0.0590796436465939,65.07936507936483,338.52607709750555,0.6424807458451561,SD,SD_0004,Tigger,normal,g,I,_h,6,SD_0004_Tigger_normal_05,956.7006802721089,976.7006802721089,stop,velar,i-like,tIGer,high,65.07936507936483,85.07936507936483,VC,FALSE,Y,381,2371,oral,legal,Y_SD,3,Lenis,Short
Widder,46.91609977324265,57.9591836734694,1210.4761904761904,0.03875838297553484,0.04788130830617063,0.17396788026570267,0.21491633734129337,19.20634920634916,269.6825396825395,0.4473513513513514,SD,SD_0004,Widder,normal,d,I,_h,6,SD_0004_Widder_normal_01,889.421768707483,947.3809523809524,stop,alveolar,i-like,BIDer,high,19.20634920634916,77.16553287981856,VC,FALSE,Y,466,1876,oral,legal,Y_SD,3,Lenis,Short
Widder,51.08843537414964,29.09297052154193,1281.451247165533,0.03986763873159681,0.02270314269535672,0.20761150018429786,0.11822705492075192,17.89115646258506,246.0770975056688,0.637160633484163,SD,SD_0004,Widder,normal,d,I,_h,6,SD_0004_Widder_normal_02,890.4875283446712,919.5804988662131,stop,alveolar,i-like,BIDer,high,17.89115646258506,46.98412698412699,VC,FALSE,Y,445,1803,oral,legal,Y_SD,3,Lenis,Short
Widder,54.285714285714334,34.87528344671205,1121.1791383219954,0.048418412749777574,0.03110589758110188,0.23374340949033418,0.15016598320640515,22.244897959183618,232.24489795918362,0.6088504577822991,SD,SD_0004,Widder,normal,d,I,_h,6,SD_0004_Widder_normal_03,826.0204081632653,860.8956916099773,stop,alveolar,i-like,BIDer,high,22.244897959183618,57.120181405895664,VC,FALSE,Y,461,1795,oral,legal,Y_SD,3,Lenis,Short
Widder,71.26984126984121,27.369614512471685,1070.6575963718822,0.0665664181633344,0.025563368349711988,0.34443835616438323,0.13227397260273985,25.328798185941082,206.91609977324265,0.7225287356321836,SD,SD_0004,Widder,normal,d,I,_h,6,SD_0004_Widder_normal_04,988.219954648526,1015.5895691609977,stop,alveolar,i-like,BIDer,high,25.328798185941082,52.69841269841277,VC,FALSE,Y,475,1815,oral,legal,Y_SD,3,Lenis,Short
Widder,51.15646258503409,44.353741496598445,1157.6643990929706,0.04418937182927552,0.03831312557538227,0.21820292097881827,0.1891865751039743,25.147392290249627,234.44444444444457,0.5356125356125371,SD,SD_0004,Widder,normal,d,I,_h,6,SD_0004_Widder_normal_05,995.3854875283447,1039.7392290249431,stop,alveolar,i-like,BIDer,high,25.147392290249627,69.50113378684807,VC,FALSE,Y,433,1767,oral,legal,Y_SD,3,Lenis,Short
